"company","job description","required qualification","location"
"IndusInd Bank Ltd","KYC Verification Trainee. 12-month back-office role. Verify customer identity documents,  check for compliance,  and update records.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Samsung India Electronics Private Limited","Logistics Trainee (Operations). 12-month role managing inbound/outbound material flow for the factory. Use SAP for inventory tracking.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Sambalpur,  Odisha"
"Shriram Finance Limited","Branch Operations Trainee. 12-month role. Support branch staff with customer service,  cash handling (under supervision),  and documentation.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Bandhan Bank Limited","Loan Officer Trainee (Field). 12-month role involving fieldwork. Learn customer acquisition in rural/semi-urban areas,  group loan processing,  and collections.","Class 12 Pass or B.A. (any discipline). Must be willing to travel. Must meet PMIS age and income criteria.","Bhubaneswar,  Odisha"
"Ambuja Cements Limited","Operations Trainee (Kiln). 12-month hands-on role. Learn kiln operations,  monitor control panels,  and assist shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Chandrapur,  Maharashtra"
"Oil and Natural Gas Corporation Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintenance of pumps,  compressors,  and engines at a production installation.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Ahmedabad,  Gujarat"
"Maruti Suzuki India Limited","Paint Shop Operations Trainee. 12-month hands-on role. Learn surface preparation,  painting processes,  and quality inspection of painted vehicles.","ITI (Painter) or Diploma in Chemical/Paint Technology. Must meet PMIS age and income criteria.","Gurugram,  Haryana"
"HDFC Bank Limited","Credit Operations Trainee. 12-month back-office role. Support credit card application processing,  data verification,  and documentation.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Reliance Industries Limited","Maintenance Trainee (Instrumentation). 12-month hands-on role at the refinery. Assist technicians in calibrating and maintaining field instruments.","Diploma in Instrumentation Engineering (EIE). Must meet PMIS age (21-24) and income (<8L) criteria.","Jamnagar,  Gujarat"
"Infosys Limited","BPO Trainee (Technical Support). 12-month role handling technical queries (voice/chat) for a client. Learn troubleshooting and customer service.","B.Sc (IT) or BCA (non-premier institute). Good communication skills. Must meet PMIS eligibility.","Pune,  Maharashtra"
"Tata Steel Limited","Electrical Maintenance Trainee (Power Plant). 12-month role at the captive power plant. Assist in maintenance of generators,  switchgear,  and transformers.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Jamshedpur,  Jharkhand"
"Larsen and Toubro Limited","Supply Chain Trainee (Site). 12-month on-site role. Manage materials,  coordinate with suppliers,  and maintain inventory records at a construction project.","B.Com (Logistics) or Diploma in Materials Management. Must meet PMIS age and income criteria.","Nagpur,  Maharashtra"
"ICICI Bank Limited","HR Trainee (Admin). 12-month role supporting the HR team. Assist with employee records,  leave management,  and data entry.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Hyderabad,  Telangana"
"Hindustan Unilever Limited","Production Trainee. 12-month hands-on role at a factory. Learn machine operations,  quality checks"," and safety protocols on the production line.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria., Goa"
"Wipro Limited","HR Trainee (Recruitment Support). 12-month role assisting the HR team. Source resumes,  schedule interviews,  and coordinate with candidates.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Mahindra and Mahindra Limited","Manufacturing Trainee (Paint Shop). 12-month shop-floor role. Learn surface preparation,  painting,  and inspection processes for vehicles.","ITI (Painter) or Diploma in Chemical/Paint Technology. Must meet PMIS age and income criteria.","Nashik,  Maharashtra"
"GAIL (India) Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with bill processing,  data entry,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","New Delhi,  Delhi"
"Bajaj Auto Limited","Assembly Trainee (Engine). 12-month shop-floor role. Learn to assemble two-wheeler engines,  use tools,  and perform quality checks.","ITI (Fitter/Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS eligibility.","Chakan,  Maharashtra"
"NTPC Limited","Electrical Maintenance Trainee. 12-month hands-on role at the power plant. Assist in maintenance of motors,  panels,  and switchgear.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Ramagundam,  Telangana"
"Axis Bank Limited","Operations Trainee (Data Entry). 12-month back-office role. Perform high-volume data entry for customer records and applications. High accuracy required.","Class 12 Pass or B.A. (any discipline). Good typing speed. Must meet PMIS eligibility.","Bengaluru,  Karnataka"
"Indian Oil Corporation Limited","Operations Trainee (Refinery). 12-month rotational shift role. Learn refinery unit operations,  monitor parameters,  and assist shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Guwahati,  Assam"
"Hindustan Petroleum Corporation Limited","Refinery Operations Trainee. 12-month rotational shift role. Learn refinery unit operations,  monitor parameters,  and assist shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Mumbai,  Maharashtra"
"Reliance Retail Limited","Customer Service Trainee (JioMart). 12-month role handling customer queries (phone/email) for e-commerce operations. Resolve delivery and order issues.","B.A. or B.Com graduate (non-premier). Good communication skills. Must meet PMIS eligibility.","Thane,  Maharashtra"
"JSW Steel Limited","Operations Trainee (Steel Melting Shop). 12-month hands-on role. Learn steelmaking processes,  assist in operations,  and support quality sampling.","Diploma in Metallurgical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Salem,  Tamil Nadu"
"Power Grid Corporation of India Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with bill processing,  data entry,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Patna,  Bihar"
"ITC Limited","Operations Trainee (Food Production). 12-month hands-on role at a food plant (e.g.,  Sunfeast). Learn machine operations,  quality checks,  and packaging.","Diploma in Food Processing/Mechanical Engineering. Must meet PMIS age and income criteria.","Haridwar,  Uttarakhand"
"Tata Consultancy Services Limited","Helpdesk Trainee (Internal HR). 12-month role supporting TCS employees with HR-related queries (e.g.,  leave,  payroll,  policy).","BBA (HR) or B.A. (any discipline) graduate (non-premier). Must meet PMIS age and income criteria.","Chennai,  Tamil Nadu"
"HCL Technologies Limited","IT Helpdesk Trainee (Internal). 12-month role providing basic IT support to HCL employees. Handle password resets,  software installation.","B.Sc (IT) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Nagpur,  Maharashtra"
"Muthoot Finance Limited","Branch Operations Trainee. 12-month role. Learn customer service,  gold appraisal,  and documentation for financial products.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Coimbatore,  Tamil Nadu"
"Oil India Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintenance of pumps,  compressors,  and engines at a field installation.","ITI (Fitter/Mechanic) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Jaisalmer,  Rajasthan"
"Steel Authority of India Limited","Operations Trainee (Rolling Mill). 12-month hands-on role. Learn operation of rolling mills,  monitor product quality,  and support shift team.","Diploma in Mechanical/Metallurgical Engineering. Must meet PMIS age and income criteria.","Durgapur,  West Bengal"
"Kotak Mahindra Bank Limited","Loan Operations Trainee. 12-month back-office role. Verify documents for personal/auto loans,  check compliance,  and coordinate with sales.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Tech Mahindra Limited","Customer Support Trainee (Voice). 12-month role handling customer queries (voice) for a telecom client. Troubleshoot service issues.","B.A. or B.Sc (any discipline,  non-premier). Good communication skills. Must meet PMIS eligibility.","Pune,  Maharashtra"
"Northern Coalfields Limited","Mechanical Maintenance Trainee (HEMM). Assist in the maintenance and repair of Heavy Earth Moving Machinery (dumpers,  shovels). 12-month workshop/field role.","Diploma in Mechanical/Automobile Engineering or ITI (Mechanic). Must meet PMIS age and income criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Operations Trainee (Production). 12-month hands-on role assisting in kiln and mill operations. Monitor control panels and support shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Awarpur,  Maharashtra"
"Hero MotoCorp Limited","Quality Inspection Trainee (Engine). 12-month shop-floor role. Learn to inspect engine components using gauges and measuring instruments.","Diploma in Mechanical/Automobile Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Neemrana,  Rajasthan"
"NHPC Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Faridabad,  Haryana"
"Asian Paints Limited","Warehouse Operations Trainee. 12-month role at a distribution center. Learn inventory management (SAP),  order processing,  and logistics coordination.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Sriperumbudur,  Tamil Nadu"
"IndusInd Bank Ltd","Operations Trainee (Back-Office). 12-month role processing customer requests (e.g.,  address change,  stop payment),  data entry,  and file management.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Gurugram,  Haryana"
"Samsung India Electronics Private Limited","Quality Assurance Trainee (Hardware). 12-month role testing mobile device hardware (e.g.,  screen,  camera,  battery). Log defects and verify fixes.","Diploma in Electronics (ECE). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","Materials Management Trainee. 12-month office role. Assist in procurement,  stores management,  and inventory control.","B.Com or Diploma in Materials Management. Must meet PMIS age and income criteria.","Sambalpur,  Odisha"
"Shriram Finance Limited","Verification Trainee (Field). 12-month field role. Conduct physical verification of customer's address and collateral (vehicles) for loan applications.","Class 12 Pass. Must have a two-wheeler and valid license. Must meet PMIS age and income criteria.","Hyderabad,  Telangana"
"Bandhan Bank Limited","Branch Operations Trainee. 12-month branch role. Support customer service,  cash handling,  and back-office account opening processes.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Ranchi,  Jharkhand"
"Ambuja Cements Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintaining heavy machinery (kilns,  mills,  crushers). Learn preventive maintenance.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Marwar Mundwa,  Rajasthan"
"Oil and Natural Gas Corporation Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with processing bills,  managing vouchers,  and data entry.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Karaikal,  Puducherry"
"Maruti Suzuki India Limited","Supply Chain Trainee (Logistics). 12-month office role. Coordinate with suppliers for parts delivery,  manage schedules,  and track shipments.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age and income criteria.","Gurugram,  Haryana"
"HDFC Bank Limited","HR Trainee (Admin). 12-month office role. Support the HR team with employee records,  leave management,  and data entry.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","New Delhi,  Delhi"
"Reliance Industries Limited","Operations Trainee (Refinery). 12-month rotational shift role. Learn refinery unit operations,  monitor parameters,  and assist shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Jamnagar,  Gujarat"
"Infosys Limited","HR Trainee (Onboarding). 12-month role assisting the HR team. Manage new hire documentation,  coordinate background verification,  and support induction.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mysuru,  Karnataka"
"Tata Steel Limited","Mechanical Maintenance Trainee (Workshop). 12-month role in the central workshop. Learn machining,  fitting,  and fabrication to support plant maintenance.","ITI (Fitter/Machinist) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Kalinganagar,  Odisha"
"Larsen and Toubro Limited","Store Keeper Trainee (Site). 12-month on-site role. Manage inventory of construction materials,  issue items,  and maintain stock records.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Kochi,  Kerala"
"ICICI Bank Limited","Operations Trainee (Branch). 12-month role supporting non-cash transactions,  handling customer queries,  and managing branch documentation.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Hindustan Unilever Limited","Factory Operations Trainee. 12-month hands-on role at a food/beverage plant. Learn production line operations,  packaging,  and factory safety protocols.","ITI (Fitter/Electrician) or Class 12 Pass (Science). Must meet PMIS age (21-24) and income (<8L) criteria.","Orai,  Uttar Pradesh"
"Wipro Limited","Service Desk Trainee (Internal). 12-month role providing IT support to Wipro employees. Handle password resets,  software issues,  and hardware requests.","B.Sc (IT) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Mahindra and Mahindra Limited","Manufacturing Trainee (Assembly). 12-month shop-floor role. Learn to assemble UVs (e.g.,  Scorpio,  XUV). Follow standard operating procedures.","ITI (Fitter/Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS eligibility.","Nashik,  Maharashtra"
"GAIL (India) Limited","Instrumentation Maintenance Trainee. 12-month hands-on role at a compressor station. Assist technicians in maintaining and calibrating field instruments.","Diploma in Instrumentation/Electronics Engineering (EIE/ECE). Must meet PMIS age and income criteria.","Vijaipur,  Madhya Pradesh"
"Bajaj Auto Limited","Assembly Trainee (Motorcycle). 12-month hands-on role assembling motorcycles. Learn production processes and quality checks.","ITI (Fitter/Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS eligibility.","Pune,  Maharashtra"
"NTPC Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Korba,  Chhattisgarh"
"Axis Bank Limited","Branch Operations Trainee. 12-month customer-facing role. Handle queries,  assist with deposits/withdrawals,  and explain banking products.","Class 12 Pass or B.A. (any discipline). Good communication skills. Must meet PMIS eligibility.","Lucknow,  Uttar Pradesh"
"Indian Oil Corporation Limited","Operations Trainee (LPG Bottling Plant). 12-month hands-on role. Learn bottling operations,  safety checks,  and cylinder management.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Kozhikode,  Kerala"
"Hindustan Petroleum Corporation Limited","Operations Trainee (Terminal). 12-month role at a petroleum storage terminal. Learn inventory management,  tanker loading,  and safety protocols.","Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Kanpur,  Uttar Pradesh"
"Reliance Retail Limited","Store Operations Trainee (Reliance Trends). 12-month store-based role. Learn visual merchandising,  inventory management,  and customer service.","Class 12 Pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"JSW Steel Limited","Safety Officer Trainee. 12-month on-site role. Assist the safety department in conducting audits,  training workers,  and investigating incidents.","Diploma in Industrial Safety or B.Sc (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Vijayanagar,  Karnataka"
"Power Grid Corporation of India Limited","IT Helpdesk Trainee (Substation). 12-month on-site role. Provide basic IT support to substation staff. Manage local hardware and network issues.","Diploma in Computer Science/IT. Must meet PMIS age (21-24) and income (<8L) criteria.","Silchar,  Assam"
"ITC Limited","Hospitality Trainee (Housekeeping). 12-month role in a hotel. Learn room management,  cleanliness standards,  and inventory control for housekeeping.","B.Sc in Hospitality or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Jaipur,  Rajasthan"
"Tata Consultancy Services Limited","Operations Trainee (BPO). 12-month back-office role. Perform data processing tasks for an international client (e.g.,  banking,  retail).","B.A.,  B.Sc,  or B.Com graduate (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"HCL Technologies Limited","Operations Support Trainee. 12-month back-office role. Support a business process,  perform data validation,  and prepare reports for a manager.","B.A. or B.Com graduate (non-premier institute). Good Excel skills required. Must meet PMIS eligibility.","Lucknow,  Uttar Pradesh"
"Muthoot Finance Limited","Gold Appraiser Trainee. 12-month branch role. Learn to test gold purity,  weigh ornaments,  and manage documentation for gold loans under supervision.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Visakhapatnam,  Andhra Pradesh"
"Oil India Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Steel Authority of India Limited","Finance Trainee (Admin). 12-month office role at the plant. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bhilai,  Chhattisgarh"
"Kotak Mahindra Bank Limited","Loan Documentation Trainee. 12-month back-office role. Verify personal loan/home loan documents,  check for completeness,  and coordinate with sales teams.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","New Delhi,  Delhi"
"Tech Mahindra Limited","HR Trainee (Admin). 12-month role supporting the HR team. Assist with employee records,  leave management,  and data entry.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Northern Coalfields Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintaining heavy machinery (kilns,  mills,  crushers). Learn preventive maintenance.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Gulbarga,  Karnataka"
"Hero MotoCorp Limited","Store Keeper Trainee. 12-month role in the plant stores. Manage inventory of spare parts,  issue components,  and maintain records in SAP.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Dharuhera,  Haryana"
"NHPC Limited","IT Trainee (Power Station). 12-month on-site role. Provide basic IT support to power plant staff,  manage local network,  and maintain IT hardware.","Diploma in Computer Science/IT. Must meet PMIS age (21-24) and income (<8L) criteria.","Sewa,  Jammu and Kashmir"
"Asian Paints Limited","Supply Chain Trainee (Logistics). 12-month office role at a plant. Coordinate with transporters,  manage dispatch documentation,  and track shipments.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Rohtak,  Haryana"
"IndusInd Bank Ltd","Branch Operations Trainee. 12-month customer-facing role. Handle queries,  assist with deposits/withdrawals,  and explain banking products.","Class 12 Pass or B.A. (any discipline). Good communication skills. Must meet PMIS eligibility.","Jaipur,  Rajasthan"
"Samsung India Electronics Private Limited","Finance Trainee (Admin). 12-month office role. Assist with processing invoices,  data entry,  and supporting the accounts team.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","HEMM Maintenance Trainee (Electrical). 12-month hands-on role. Assist in maintaining electrical systems of heavy mining equipment.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Talcher,  Odisha"
"Shriram Finance Limited","Branch Operations Trainee. 12-month role. Support branch staff with customer service,  cash handling (under supervision),  and documentation.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Cuttack,  Odisha"
"Bandhan Bank Limited","Loan Processing Trainee. 12-month back-office role. Verify documents for micro-loans,  enter data into the system,  and check compliance.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Ambuja Cements Limited","Operations Trainee (Production). 12-month hands-on role assisting in kiln and mill operations. Monitor control panels and support shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Kodinar,  Gujarat"
"Oil and Natural Gas Corporation Limited","Chemical Lab Trainee. 12-month lab role. Assist in testing crude oil,  gas,  and water samples. Prepare reagents and maintain records.","B.Sc (Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria. Not from premier institute.","Hazira,  Gujarat"
"Maruti Suzuki India Limited","Finance Trainee (Accounts). 12-month office role. Assist in processing vendor invoices,  verifying payments,  and handling vendor queries.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","New Delhi,  Delhi"
"HDFC Bank Limited","Back-Office Operations Trainee. 12-month role processing account opening forms. Verify documents,  enter data,  and ensure compliance.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Reliance Industries Limited","Maintenance Trainee (Mechanical). 12-month hands-on role at the petrochemical plant. Assist in maintenance of pumps,  compressors,  and rotating equipment.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Patalganga,  Maharashtra"
"Infosys Limited","BPO Trainee (Customer Support). 12-month role handling customer queries (voice) for a US client. Learn communication skills and process protocols.","B.A.,  B.Sc,  or B.Com graduate (any discipline,  non-premier). Excellent English required. Must meet PMIS eligibility.","Bengaluru,  Karnataka"
"Tata Steel Limited","Operations Trainee (Blast Furnace). 12-month hands-on role. Learn blast furnace operations,  monitor parameters,  and assist in process control.","Diploma in Metallurgical/Chemical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Jamshedpur,  Jharkhand"
"Larsen and Toubro Limited","Finance Trainee (Project Site). 12-month on-site role. Assist with vendor bill processing,  time-keeping,  and expense reporting.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"ICICI Bank Limited","HR Trainee (Admin). 12-month role supporting the HR team. Assist with employee records,  leave management,  and data entry.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Hindustan Unilever Limited","Supply Chain Trainee (Warehouse). 12-month role at a regional distribution center. Learn inventory management,  order processing,  and logistics coordination.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age and income criteria.","Bengaluru,  Karnataka"
"Wipro Limited","Finance Trainee (BPO). 12-month role in the F&A BPO division. Learn accounts payable/receivable processes for a client. Perform data entry and validation.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Mahindra and Mahindra Limited","Manufacturing Trainee (Assembly). 12-month shop-floor role. Learn to assemble UVs (e.g.,  Scorpio,  XUV). Follow standard operating procedures.","ITI (Fitter/Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS eligibility.","Kandivali,  Maharashtra"
"GAIL (India) Limited","Electrical Maintenance Trainee. 12-month hands-on role at a plant/station. Assist electricians in maintaining motors,  panels,  and electrical systems.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Vijaipur,  Madhya Pradesh"
"Bajaj Auto Limited","Maintenance Trainee (Mechanical). 12-month hands-on role. Assist in preventive and breakdown maintenance of assembly line machinery and robots.","Diploma in Mechanical/Mechatronics Engineering. Must meet PMIS age and income criteria.","Waluj,  Maharashtra"
"NTPC Limited","Operations Trainee (Control Room). 12-month rotational shift role. Learn to monitor power plant operations,  log parameters,  and assist shift engineers.","Diploma in Electrical/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Farakka,  West Bengal"
"Axis Bank Limited","Branch Operations Trainee. 12-month customer-facing role. Handle queries,  assist with deposits/withdrawals,  and explain banking products.","Class 12 Pass or B.A. (any discipline). Good communication skills. Must meet PMIS eligibility.","Pune,  Maharashtra"
"Indian Oil Corporation Limited","Sales Trainee (Lubes). 12-month field role. Support sales team in managing distributor and retailer networks for lubricants.","BBA (Marketing) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Bengaluru,  Karnataka"
"Hindustan Petroleum Corporation Limited","Refinery Operations Trainee. 12-month rotational shift role. Learn refinery unit operations,  monitor parameters,  and assist shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Visakhapatnam,  Andhra Pradesh"
"Reliance Retail Limited","Customer Service Trainee (Reliance Digital). 12-month store-based role. Learn product features,  assist customers,  and manage stock in the electronics store.","Class 12 Pass or B.A. (any discipline). Interest in technology required. Must meet PMIS eligibility.","Mumbai,  Maharashtra"
"JSW Steel Limited","Operations Trainee (Blast Furnace). 12-month hands-on role. Learn blast furnace operations,  monitor parameters,  and assist in process control.","Diploma in Metallurgical/Chemical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Dolvi,  Maharashtra"
"Power Grid Corporation of India Limited","Electrical Trainee (Substation). 12-month on-site role. Learn operation and maintenance of high-voltage switchgear and transformers.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Guwahati,  Assam"
"ITC Limited","Manufacturing Trainee (FMCG). 12-month role at a food processing plant (e.g.,  Aashirvaad Atta). Learn production processes,  packaging,  and quality control.","Diploma in Food Processing/Mechanical Engineering. Must meet PMIS age and income criteria.","Kapurthala,  Punjab"
"Tata Consultancy Services Limited","Finance Trainee (BPO). 12-month role processing financial transactions (e.g.,  accounts payable) for a corporate client. Requires attention to detail.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"HCL Technologies Limited","IT Helpdesk Trainee (Internal). 12-month role providing basic IT support to HCL employees. Handle password resets,  software installation.","B.Sc (IT) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Muthoot Finance Limited","Gold Appraiser Trainee. 12-month branch role. Learn to test gold purity,  weigh ornaments,  and manage documentation for gold loans under supervision.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Jaipur,  Rajasthan"
"Oil India Limited","Mechanical Maintenance Trainee. 12-month hands-on role. Assist in maintenance of pumps,  compressors,  and engines at a field installation.","ITI (Fitter/Mechanic) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Duliajan,  Assam"
"Steel Authority of India Limited","Operations Trainee (Coke Oven). 12-month hands-on role in the coke oven battery. Learn operations,  monitor parameters,  and support safety procedures.","Diploma in Chemical/Metallurgical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Bokaro,  Jharkhand"
"Kotak Mahindra Bank Limited","Loan Operations Trainee. 12-month back-office role. Verify documents for personal/auto loans,  check compliance,  and coordinate with sales.","B.Com or BBA graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Tech Mahindra Limited","Customer Support Trainee (Voice). 12-month role handling customer queries (voice) for a telecom client. Troubleshoot service issues.","B.A. or B.Sc (any discipline,  non-premier). Good communication skills. Must meet PMIS eligibility.","Kolkata,  West Bengal"
